time,wind_speed,wind_direction,stability_class,number,latitude,longitude,expver
2024-01-04 00:00:00,10.710236,72.684326,D,0,55.58,13.01,0001
2024-01-04 01:00:00,10.59533,69.48535,D,0,55.58,13.01,0001
2024-01-04 02:00:00,10.480792,66.7005,D,0,55.58,13.01,0001
2024-01-04 03:00:00,10.27701,64.73105,D,0,55.58,13.01,0001
2024-01-04 04:00:00,10.03752,61.895447,D,0,55.58,13.01,0001
2024-01-04 05:00:00,9.618506,57.727722,D,0,55.58,13.01,0001
2024-01-04 06:00:00,9.168154,52.710968,D,0,55.58,13.01,0001
2024-01-04 07:00:00,8.8981495,48.356934,D,0,55.58,13.01,0001
2024-01-04 08:00:00,8.11183,43.106903,D,0,55.58,13.01,0001
2024-01-04 09:00:00,7.450446,36.518616,D,0,55.58,13.01,0001
2024-01-04 10:00:00,6.3692183,23.852844,D,0,55.58,13.01,0001
2024-01-04 11:00:00,6.2872124,16.988342,D,0,55.58,13.01,0001
2024-01-04 12:00:00,6.045173,15.093109,D,0,55.58,13.01,0001
2024-01-04 13:00:00,5.608719,13.423187,D,0,55.58,13.01,0001
2024-01-04 14:00:00,5.3594503,14.239105,D,0,55.58,13.01,0001
2024-01-04 15:00:00,4.976531,16.087189,D,0,55.58,13.01,0001
2024-01-04 16:00:00,4.71996,17.288666,D,0,55.58,13.01,0001
2024-01-04 17:00:00,4.3757825,18.445251,D,0,55.58,13.01,0001
2024-01-04 18:00:00,4.123808,16.66626,D,0,55.58,13.01,0001
2024-01-04 19:00:00,4.023733,15.172974,D,0,55.58,13.01,0001
2024-01-04 20:00:00,4.080692,17.567749,D,0,55.58,13.01,0001
2024-01-04 21:00:00,4.0878015,20.7128,D,0,55.58,13.01,0001
2024-01-04 22:00:00,3.7965739,29.479797,D,0,55.58,13.01,0001
2024-01-04 23:00:00,3.5449622,30.159454,D,0,55.58,13.01,0001
2024-01-05 00:00:00,3.0121648,32.901825,E,0,55.58,13.01,0001
2024-01-05 01:00:00,2.8959138,37.496857,F,0,55.58,13.01,0001
2024-01-05 02:00:00,3.0457895,43.34729,E,0,55.58,13.01,0001
2024-01-05 03:00:00,2.8882227,45.378784,F,0,55.58,13.01,0001
2024-01-05 04:00:00,2.8794842,49.17679,F,0,55.58,13.01,0001
2024-01-05 05:00:00,3.0420802,50.562195,E,0,55.58,13.01,0001
2024-01-05 06:00:00,3.4398334,52.461365,D,0,55.58,13.01,0001
2024-01-05 07:00:00,3.4053283,57.670776,D,0,55.58,13.01,0001
2024-01-05 08:00:00,4.0195637,58.45056,D,0,55.58,13.01,0001
2024-01-05 09:00:00,4.4071136,61.234985,D,0,55.58,13.01,0001
2024-01-05 10:00:00,4.1476784,70.98746,D,0,55.58,13.01,0001
2024-01-05 11:00:00,3.91052,76.40271,C,0,55.58,13.01,0001
2024-01-05 12:00:00,4.145202,73.7706,D,0,55.58,13.01,0001
2024-01-05 13:00:00,4.3621225,71.27286,D,0,55.58,13.01,0001
2024-01-05 14:00:00,4.270254,72.50989,D,0,55.58,13.01,0001
2024-01-05 15:00:00,4.434715,70.7569,D,0,55.58,13.01,0001
2024-01-05 16:00:00,4.7292657,68.835846,D,0,55.58,13.01,0001
2024-01-05 17:00:00,4.903219,69.1947,D,0,55.58,13.01,0001
2024-01-05 18:00:00,5.273114,68.93176,D,0,55.58,13.01,0001
2024-01-05 19:00:00,5.2892838,73.27066,D,0,55.58,13.01,0001
2024-01-05 20:00:00,5.3902717,73.98596,D,0,55.58,13.01,0001
2024-01-05 21:00:00,5.523269,70.62207,D,0,55.58,13.01,0001
2024-01-05 22:00:00,5.4254704,65.491455,D,0,55.58,13.01,0001
2024-01-05 23:00:00,5.5662174,64.27713,D,0,55.58,13.01,0001
2024-01-06 00:00:00,5.882981,63.234375,D,0,55.58,13.01,0001
2024-01-06 01:00:00,6.18677,61.79187,D,0,55.58,13.01,0001
2024-01-06 02:00:00,6.3104334,61.42755,D,0,55.58,13.01,0001
2024-01-06 03:00:00,6.336222,60.13922,D,0,55.58,13.01,0001
2024-01-06 04:00:00,6.4547024,59.464905,D,0,55.58,13.01,0001
2024-01-06 05:00:00,6.1503906,60.37317,D,0,55.58,13.01,0001
2024-01-06 06:00:00,5.9730554,60.29706,D,0,55.58,13.01,0001
2024-01-06 07:00:00,5.7947807,57.765137,D,0,55.58,13.01,0001
2024-01-06 08:00:00,5.737338,55.897156,D,0,55.58,13.01,0001
2024-01-06 09:00:00,5.4802394,55.37091,D,0,55.58,13.01,0001
